1969-12-31 16:00:14.960445 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:14.960463 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:14.960484 (+0.000021 s): isr_exit
1969-12-31 16:00:14.960533 (+0.000049 s): isr_enter
1969-12-31 16:00:14.960560 (+0.000027 s): isr_exit
1969-12-31 16:00:14.965518 (+0.004957 s): isr_enter
1969-12-31 16:00:14.965539 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:14.965557 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:14.965578 (+0.000021 s): isr_exit
1969-12-31 16:00:14.965627 (+0.000049 s): isr_enter
1969-12-31 16:00:14.965654 (+0.000027 s): isr_exit
1969-12-31 16:00:14.970415 (+0.004761 s): isr_enter
1969-12-31 16:00:14.970436 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:14.970454 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:14.970475 (+0.000021 s): isr_exit
1969-12-31 16:00:14.970524 (+0.000049 s): isr_enter
1969-12-31 16:00:14.970551 (+0.000027 s): isr_exit
1969-12-31 16:00:14.975528 (+0.004977 s): isr_enter
1969-12-31 16:00:14.975549 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:14.975585 (+0.000036 s): isr_exit
1969-12-31 16:00:15.279061 (+0.303476 s): isr_enter
1969-12-31 16:00:15.279087 (+0.000026 s): isr_exit
1969-12-31 16:00:15.282456 (+0.003370 s): isr_enter
1969-12-31 16:00:15.282477 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.282496 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.282517 (+0.000021 s): isr_exit
1969-12-31 16:00:15.282569 (+0.000052 s): isr_enter
1969-12-31 16:00:15.282607 (+0.000038 s): isr_exit
1969-12-31 16:00:15.286599 (+0.003992 s): isr_enter
1969-12-31 16:00:15.286620 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.286639 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.286660 (+0.000021 s): isr_exit
1969-12-31 16:00:15.286709 (+0.000049 s): isr_enter
1969-12-31 16:00:15.286736 (+0.000027 s): isr_exit
1969-12-31 16:00:15.292451 (+0.005715 s): isr_enter
1969-12-31 16:00:15.292472 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.292490 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.292511 (+0.000021 s): isr_exit
1969-12-31 16:00:15.292560 (+0.000049 s): isr_enter
1969-12-31 16:00:15.292588 (+0.000027 s): isr_exit
1969-12-31 16:00:15.297532 (+0.004945 s): isr_enter
1969-12-31 16:00:15.297553 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.297572 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.297593 (+0.000021 s): isr_exit
1969-12-31 16:00:15.297642 (+0.000049 s): isr_enter
1969-12-31 16:00:15.297669 (+0.000028 s): isr_exit
1969-12-31 16:00:15.302411 (+0.004742 s): isr_enter
1969-12-31 16:00:15.302432 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.302450 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.302471 (+0.000021 s): isr_exit
1969-12-31 16:00:15.302521 (+0.000049 s): isr_enter
1969-12-31 16:00:15.302546 (+0.000026 s): isr_exit
1969-12-31 16:00:15.306659 (+0.004113 s): isr_enter
1969-12-31 16:00:15.306680 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.306699 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.306720 (+0.000021 s): isr_exit
1969-12-31 16:00:15.306772 (+0.000052 s): isr_enter
1969-12-31 16:00:15.306810 (+0.000038 s): isr_exit
1969-12-31 16:00:15.311799 (+0.004989 s): isr_enter
1969-12-31 16:00:15.311820 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.311838 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.311859 (+0.000021 s): isr_exit
1969-12-31 16:00:15.311908 (+0.000049 s): isr_enter
1969-12-31 16:00:15.311936 (+0.000027 s): isr_exit
1969-12-31 16:00:15.316913 (+0.004978 s): isr_enter
1969-12-31 16:00:15.316935 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.316953 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.316974 (+0.000021 s): isr_exit
1969-12-31 16:00:15.317023 (+0.000049 s): isr_enter
1969-12-31 16:00:15.317050 (+0.000027 s): isr_exit
1969-12-31 16:00:15.322006 (+0.004956 s): isr_enter
1969-12-31 16:00:15.322027 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.322046 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.322067 (+0.000021 s): isr_exit
1969-12-31 16:00:15.322116 (+0.000049 s): isr_enter
1969-12-31 16:00:15.322141 (+0.000026 s): isr_exit
1969-12-31 16:00:15.327074 (+0.004932 s): isr_enter
1969-12-31 16:00:15.327095 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.327113 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.327134 (+0.000021 s): isr_exit
1969-12-31 16:00:15.327186 (+0.000052 s): isr_enter
1969-12-31 16:00:15.327225 (+0.000038 s): isr_exit
1969-12-31 16:00:15.332068 (+0.004844 s): isr_enter
1969-12-31 16:00:15.332089 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.332107 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.332129 (+0.000021 s): isr_exit
1969-12-31 16:00:15.332177 (+0.000049 s): isr_enter
1969-12-31 16:00:15.332205 (+0.000028 s): isr_exit
1969-12-31 16:00:15.337154 (+0.004949 s): isr_enter
1969-12-31 16:00:15.337175 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.337193 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.337214 (+0.000021 s): isr_exit
1969-12-31 16:00:15.337263 (+0.000049 s): isr_enter
1969-12-31 16:00:15.337289 (+0.000026 s): isr_exit
1969-12-31 16:00:15.342224 (+0.004935 s): isr_enter
1969-12-31 16:00:15.342245 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.342264 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.342285 (+0.000021 s): isr_exit
1969-12-31 16:00:15.342337 (+0.000052 s): isr_enter
1969-12-31 16:00:15.342375 (+0.000039 s): isr_exit
1969-12-31 16:00:15.346549 (+0.004173 s): isr_enter
1969-12-31 16:00:15.346570 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.346588 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.346609 (+0.000021 s): isr_exit
1969-12-31 16:00:15.346658 (+0.000049 s): isr_enter
1969-12-31 16:00:15.346685 (+0.000027 s): isr_exit
1969-12-31 16:00:15.352300 (+0.005614 s): isr_enter
1969-12-31 16:00:15.352321 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.352339 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.352360 (+0.000021 s): isr_exit
1969-12-31 16:00:15.352412 (+0.000052 s): isr_enter
1969-12-31 16:00:15.352451 (+0.000038 s): isr_exit
1969-12-31 16:00:15.357487 (+0.005037 s): isr_enter
1969-12-31 16:00:15.357509 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.357527 (+0.000018 s): semaphore_give_exit (536874464)
1969-12-31 16:00:15.357548 (+0.000021 s): isr_exit
1969-12-31 16:00:15.357597 (+0.000049 s): isr_enter
1969-12-31 16:00:15.357623 (+0.000026 s): isr_exit
1969-12-31 16:00:15.361756 (+0.004133 s): isr_enter
1969-12-31 16:00:15.361777 (+0.000021 s): semaphore_give_enter (536874464)
1969-12-31 16:00:15.361795 (+0.000018 s): semaphore_give_exit (536874464)
